alpha_H,alpha_W,beta_loss,init,l1_ratio,max_iter,n_components,reconstruction_error,frobenius_error,coherence_score,sparsity_W,sparsity_H,combined_score,run_id,timestamp
0.1,0.0,frobenius,nndsvda,0.0,3000,10,206.13381011459072,206.1338101145908,0.6356583662814677,0.408234828110993,0.4907,0.7028286991454417,,
0.01,0.0,frobenius,nndsvda,0.0,3000,10,206.13381013508015,206.13381013508032,0.6356583662814677,0.4082369128776033,0.47635,0.7028286991173757,,
0.1,0.0,frobenius,nndsvda,0.0,2000,10,206.133810497772,206.1338104977717,0.6356583662814677,0.408234828110993,0.487,0.7028286986205692,,
0.01,0.0,frobenius,nndsvda,0.0,2000,10,206.1338105553044,206.1338105553039,0.6356583662814677,0.4082369128776033,0.4745,0.7028286985417629,,
0.0,0.0,frobenius,nndsvda,0.0,2000,10,206.1338113885089,206.1338113885087,0.6356583662814677,0.4083765922404986,0.4694,0.7028286974004578,,
0.0,0.0,frobenius,nndsvda,0.5,3000,10,206.1338113885089,206.1338113885087,0.6356583662814677,0.4083765922404986,0.4694,0.7028286974004578,,
0.0,0.0,frobenius,nndsvda,0.5,2000,10,206.1338113885089,206.1338113885087,0.6356583662814677,0.4083765922404986,0.4694,0.7028286974004578,,
0.0,0.0,frobenius,nndsvda,1.0,2000,10,206.1338113885089,206.1338113885087,0.6356583662814677,0.4083765922404986,0.4694,0.7028286974004578,,
0.0,0.0,frobenius,nndsvda,1.0,3000,10,206.1338113885089,206.1338113885087,0.6356583662814677,0.4083765922404986,0.4694,0.7028286974004578,,
0.0,0.0,frobenius,nndsvda,0.0,3000,10,206.1338113885089,206.1338113885087,0.6356583662814677,0.4083765922404986,0.4694,0.7028286974004578,,
0.0,0.1,frobenius,nndsvda,0.0,3000,12,205.29095270386412,205.2909527038636,0.6340627705916827,0.4521702420414035,0.5057083333333333,0.7022633085103542,,
0.0,0.1,frobenius,nndsvda,0.0,2000,12,205.29095279253687,205.29095279253687,0.6340627705916827,0.4498196676882023,0.5057083333333333,0.7022633083888916,,
0.0,0.0,frobenius,nndsvda,1.0,2000,12,205.290954761706,205.29095476170588,0.6340627705916827,0.4387929896248115,0.505875,0.7022633056915686,,
0.0,0.0,frobenius,nndsvda,1.0,3000,12,205.290954761706,205.29095476170588,0.6340627705916827,0.4387929896248115,0.505875,0.7022633056915686,,
0.0,0.0,frobenius,nndsvda,0.0,2000,12,205.290954761706,205.29095476170588,0.6340627705916827,0.4387929896248115,0.505875,0.7022633056915686,,
0.0,0.0,frobenius,nndsvda,0.0,3000,12,205.290954761706,205.29095476170588,0.6340627705916827,0.4387929896248115,0.505875,0.7022633056915686,,
0.0,0.0,frobenius,nndsvda,0.5,3000,12,205.290954761706,205.29095476170588,0.6340627705916827,0.4387929896248115,0.505875,0.7022633056915686,,
0.0,0.0,frobenius,nndsvda,0.5,2000,12,205.290954761706,205.29095476170588,0.6340627705916827,0.4387929896248115,0.505875,0.7022633056915686,,
0.0,0.01,frobenius,nndsvda,0.0,3000,12,205.3334785237884,205.3334785237884,0.6141598565295915,0.4400369003690036,0.5305416666666667,0.6807513944539432,,
0.0,0.01,frobenius,nndsvda,0.0,2000,12,205.33347863041467,205.33347863041408,0.6141598565295915,0.4393697750536827,0.5305,0.6807513943078898,,
